GT	Gx	Gy	Gz	Temperature	Gyrox	Gyroy	Gyroz
 1.024	 1.023	 0.004	-0.043	 21.5	-38.834	-26.825	-14.282
 1.024	 1.023	 0.007	-0.044	 21.4	-38.788	-26.993	-14.191
 1.025	 1.024	 0.006	-0.041	 21.6	-38.895	-26.947	-13.718
 1.027	 1.026	 0.005	-0.045	 21.5	-38.544	-26.978	-13.641
 1.022	 1.021	 0.009	-0.045	 21.5	-38.849	-26.917	-14.389
 1.027	 1.026	 0.003	-0.047	 21.5	-38.742	-26.855	-14.359
 1.031	 1.030	 0.002	-0.048	 21.6	-38.773	-26.779	-13.733
 1.028	 1.028	-0.000	-0.040	 21.5	-38.559	-26.917	-14.038
 1.029	 1.028	 0.001	-0.043	 21.4	-38.574	-27.130	-14.191
 1.027	 1.025	 0.001	-0.051	 21.6	-38.788	-26.901	-14.099
 1.025	 1.024	 0.004	-0.041	 21.6	-38.651	-26.855	-13.657
 1.033	 1.032	 0.001	-0.037	 21.5	-38.757	-26.840	-13.916
 1.034	 1.033	-0.002	-0.044	 21.6	-38.788	-26.993	-14.465
 1.025	 1.024	-0.003	-0.040	 21.6	-38.727	-26.794	-13.870
 1.022	 1.022	-0.003	-0.037	 21.5	-38.727	-26.886	-13.474
 1.024	 1.024	 0.001	-0.041	 21.6	-38.696	-27.039	-14.328
 1.026	 1.026	 0.001	-0.026	 21.6	-38.895	-26.840	-14.297
 1.024	 1.023	 0.004	-0.043	 21.6	-38.773	-26.825	-13.824
 1.022	 1.021	-0.002	-0.041	 21.5	-38.864	-26.978	-13.596
 1.026	 1.025	 0.000	-0.039	 21.5	-38.666	-26.764	-14.221
 1.026	 1.025	-0.003	-0.048	 21.5	-38.696	-26.886	-14.542
 1.020	 1.019	 0.001	-0.042	 21.6	-38.742	-26.672	-13.565
 1.026	 1.026	 0.002	-0.040	 21.4	-38.986	-26.810	-13.580
 1.024	 1.023	 0.002	-0.031	 21.5	-38.757	-26.733	-14.252
 1.022	 1.022	 0.003	-0.038	 21.5	-38.818	-26.901	-14.343
 1.022	 1.021	 0.006	-0.043	 21.5	-38.696	-26.917	-13.626
 1.020	 1.019	-0.000	-0.044	 21.5	-38.589	-26.871	-13.870
 1.027	 1.026	 0.009	-0.041	 21.5	-38.666	-26.901	-14.572
 1.022	 1.021	 0.007	-0.042	 21.6	-38.712	-26.886	-14.145
 1.025	 1.024	-0.001	-0.042	 21.5	-38.742	-27.069	-13.657
 1.022	 1.021	 0.004	-0.047	 21.6	-38.712	-26.688	-13.962
 1.021	 1.020	 0.007	-0.044	 21.5	-38.925	-26.657	-14.252
 1.021	 1.020	 0.004	-0.047	 21.5	-38.605	-26.779	-14.038
 1.025	 1.024	-0.003	-0.047	 21.4	-38.742	-26.932	-13.489
 1.032	 1.031	 0.006	-0.042	 21.6	-38.727	-26.871	-14.267
 1.021	 1.020	 0.007	-0.045	 21.6	-38.773	-26.855	-14.297
 1.021	 1.020	 0.000	-0.032	 21.5	-38.788	-26.871	-13.596
 1.027	 1.026	 0.000	-0.036	 21.5	-38.651	-26.886	-13.641
 1.034	 1.033	 0.001	-0.036	 21.6	-38.849	-26.779	-14.236
 1.029	 1.028	 0.002	-0.046	 21.6	-38.742	-26.779	-14.221
 1.024	 1.023	 0.002	-0.047	 21.5	-38.727	-26.871	-13.855
 1.026	 1.025	 0.006	-0.048	 21.6	-38.559	-26.993	-13.855
 1.026	 1.025	-0.001	-0.045	 21.4	-38.879	-26.978	-14.191
 1.027	 1.026	-0.000	-0.043	 21.5	-38.818	-26.917	-14.191
 1.025	 1.024	-0.001	-0.047	 21.5	-38.727	-26.871	-13.443
 1.022	 1.022	 0.000	-0.031	 21.5	-38.818	-26.871	-13.947
 1.030	 1.030	 0.004	-0.036	 21.6	-38.727	-26.810	-14.282
 1.024	 1.023	 0.004	-0.040	 21.5	-38.757	-26.932	-13.962
 1.026	 1.025	 0.002	-0.049	 21.6	-38.925	-26.657	-13.367
